id,price_usd
3632,395327.916666667
3633,539608.333333333
2263404,144220
2263405,133930
2263406,133079.375
2263407,133930
2263408,133930
2263409,133930
2263410,640068.75
2263411,139758.333333333
2263412,139758.333333333
2263413,2111800
2263415,688143.75
2263416,579455.833333333
2263417,2111961.25
2263418,133930
2263419,133930
2263420,2111961.25
2263421,133930
2263422,133930
2263423,2111961.25
2263424,133930
2263425,2108506.07142857
2263426,2104707.5
2263427,133079.375
2263428,2104707.5
2263429,2104707.5
2263430,2111961.25
2263431,2111961.25
2263432,133930
2263433,133930
2263434,133930
2263436,133930
2263437,133930
2263438,2111961.25
2263439,133930
2263440,133930
2263441,2111961.25
2263442,133930
2263443,133930
2263444,133930
2263445,1409495.83333333
2263453,115421.25
2263460,2501668.75
2263461,688143.75
2263464,2111017.5
2263467,2111898.75
2263471,692325
2263472,692325
2263476,704068.75
2263477,466494.583333333
2263480,704068.75
2263482,640531.25
2263633,1908031.25
2263638,134342.5
2263652,809884.952202381
2264067,146725.833333333
2264075,2114870.57564484
2264078,397052.083333333
2264079,749437.5
2264080,1796031.25
2264151,128484.166666667
2264153,2111314.58333333
2264155,830673.910535714
2264158,126773.75
2264162,2291767.275
2264164,650487.5
2264168,471137.5
2264173,699825
2264178,2495993.75
2264183,2110648.75
2264189,115421.25
2264198,2702150
2264199,882880.625
2264206,2110648.75
2264212,2110648.75
2264215,138269.95
2264218,2110648.75
2264219,704568.75
2264221,2110648.75
2264227,640256.25
2264229,704568.75
2264234,709477.083333333
2264240,143792.5
2264242,106999.35625
2264248,142420.833333333
2264249,704068.75
2264259,132292.5
2264265,638189.95
2264270,625527.083333333
2264272,120665.416666667
2264274,333552.083333333
2264284,127368.3073796
2264285,125314.166666667
2264286,125314.166666667
2264290,769605.379583333
2264296,551993.333333333
2264298,753831.25
2264305,125314.166666667
2264312,809884.952202381
2264318,126004.331894841
2264320,133930
2264323,1641737.5
2264376,1641737.5
2264474,752800
2264479,133930
2264482,671043.75
2264491,641593.75
2264514,132292.5
2264518,640068.75
2264525,683606.25
2264537,795806.25
2264545,123958.75
2264549,139758.333333333
2264569,129620
2264570,128467.5
2264571,129620
2264572,128467.5
2264573,130905
2264574,683143.75
2264575,130373.75
2264576,128467.5
2264577,130905
2264578,641593.75
2264589,497870.833333333
2264598,138269.95
2264600,138269.95
2264603,138269.95
2264604,138269.95
2264607,138269.95
2264610,138269.95
2264617,466494.583333333
2264618,1641737.5
2264619,130905
2264629,683793.75
2264633,2102568.125
2264637,2511706.25
2264686,570125
2264690,2104070
2264695,107340.89375
2264699,130905
2264702,132292.5
2264709,93136.0600198413
2264714,127936.475
2264717,125314.166666667
2264718,77875
2264723,670243.75
2264731,138269.95
2264732,1908883.92857143
2264733,751265.985833333
2264734,516870.833333333
2264735,177336.616666667
2264736,786178.315833333
2264737,465335
2264744,786178.315833333
2264745,192799.583333333
2264747,786178.315833333
2264756,128092.5
2264763,137482.45
2264770,106422.5
2264773,627152.083333333
2264774,627152.083333333
2264780,566750
2264785,692425
2264795,248339.95
2264796,641593.75
2264798,569043.333333333
2264799,443407.083333333
2264800,123790.397916667
2264801,132292.5
2264807,760512.5
2264808,129256.875
2264811,572418.333333333
2264812,703856.25
2264813,638189.95
2264818,703856.25
2264835,340487.5
2264838,146725.833333333
2264847,472993.333333333
2264851,637875
2264878,115421.25
2264880,807572.452202381
2264888,146725.833333333
2264890,86779.8333333333
2264893,688143.75
2264896,129303.8625
2264920,128608.8625
2264924,137461.25
2264925,140792.5
2264927,524650
2264929,690043.75
2264940,123399.041510226
2264943,142160.098214286
2264946,141623.735714286
2264952,747265.985833333
2264960,87275.2083333334
2264970,495945.833333333
2264971,123399.041510226
2264975,141623.735714286
2264976,133079.375
2264981,209137.854166667
2264986,1788781.25
2264989,274337.5
2264992,1808811.01190476
2264994,121703.35
2264997,650450
2265009,495945.833333333
2265015,135471.315922619
2265019,552805.833333333
2265023,572418.333333333
2265028,125858.706894841
2265029,688852.083333333
2265031,1750987.5
2265038,137027.946428571
2265045,855282.4825
2265046,670243.75
2265055,437310
2265057,570125
2265059,688852.083333333
2265060,130972.5
2265063,2466281.25
2265085,689668.75
2265086,689668.75
2265087,689668.75
2265097,146725.833333333
2265098,260780.91700487
2265133,131828.75
2265145,1767358.33333333
2265155,150061.458333333
2265180,133930
2265183,248339.95
2265192,133407.983333333
2265193,392052.916666667
2265194,505204.775
2265195,395327.916666667
2265196,505204.775
2265220,613530.729166667
2265226,653518.75
2265230,804644.9825
2265232,131619.375
2265236,471137.5
2265246,141623.735714286
2265257,653518.75
2265258,692425
2265259,640531.25
2265263,395327.916666667
2265267,102337.225
2265270,102337.225
2265513,652643.75
2265537,804644.9825
2265542,641593.75
2265545,743515.985833333
2265547,858365.815833333
2265549,684120.614285714
2265551,751856.004583333
2265552,1641737.5
2265553,1641737.5
2265554,1641737.5
2265555,1641737.5
2265556,1715425
2265557,1641737.5
2265558,1641737.5
2265559,704068.75
2265560,651105.833333333
2265561,857990.815833333
2265562,637975
2265563,690890.985833333
2265564,699825
2265565,2071656.25
2265566,551693.333333333
2265567,699825
2265568,650487.5
2265569,551693.333333333
2265570,555318.333333333
2265571,555318.333333333
2265572,395327.916666667
2265573,395327.916666667
2265574,781518.75
2265599,781518.75
2265603,829330.160535714
2265606,106705.4125
2265607,130905
2265610,641593.75
2265611,106422.5
2265613,147600.833333333
2265614,640406.25
2265626,671043.75
2265630,637975
2265631,624314.583333333
2265632,128484.166666667
2265636,729691.004583333
2265638,146725.833333333
2265639,637875
2265642,142420.833333333
2265670,136402.946428571
2265671,118863.75
2265672,398991.666666667
2265674,579455.833333333
2265675,751650
2265676,125693.125
2265677,146725.833333333
2265678,126773.75
2265681,144220
2265683,129256.875
2265684,636475
2265685,144220
2265687,652343.75
2265688,133930
2265689,133930
2265690,641593.75
2265691,133930
2265692,133930
2265693,133930
2265694,133930
2265695,133930
2265696,133930
2265697,132292.5
2265698,132292.5
2265699,132292.5
2265700,132292.5
2265701,130373.75
2265702,132292.5
2265703,132292.5
2265704,132292.5
2265705,132292.5
2265706,132292.5
2265707,132292.5
2265708,2336414.6875
2265710,638189.95
2265711,128467.5
2265712,132292.5
2265719,1035005.625
2265721,130905
2265729,745887.5
2265733,140605
2265734,127581.097916667
2265755,641593.75
2265756,650702.45
2265757,650702.45
2265758,704068.75
2265767,135750.5
2265768,135750.5
2265779,731637.5
2265780,858365.815833333
2265781,640531.25
2265784,704568.75
2265785,704068.75
2265786,557868.333333333
2265787,625527.083333333
2265788,640068.75
2265789,653518.75
2265790,704068.75
2265791,704068.75
2265793,430862.083333333
2265794,430862.083333333
2265795,431362.083333333
2265798,430862.083333333
2265799,430862.083333333
2265800,431362.083333333
2265801,431362.083333333
2265804,137461.25
2265805,137461.25
2265809,140792.5
2265810,139758.333333333
2265813,129620
2265816,466107.083333333
2265817,147600.833333333
2265818,133930
2265822,137482.45
2265824,557868.333333333
2265830,118863.75
2265831,638189.95
2265833,683606.25
2265834,683606.25
2265851,803136.647083333
2265853,140705.13125
2265857,103765.975
2265868,401866.666666667
2265869,139758.333333333
2265870,638189.95
2265871,638189.95
2265872,638189.95
2265873,638189.95
2265874,638189.95
2265876,1641737.5
2265877,1641737.5
2265879,395327.916666667
2265881,89592.1833333333
2265886,640406.25
2265887,554730.833333333
2265888,176260.366666667
2265889,103765.975
2265926,654168.75
2265927,146725.833333333
2265928,146725.833333333
2265929,146725.833333333
2265930,146725.833333333
2265931,126773.75
2265932,731637.5
2265933,323549.583333333
2265934,1676487.5
2265936,132292.5
2265937,132292.5
2265938,132292.5
2265946,106601.304166667
2265954,471918.333333333
2265955,128484.166666667
2265957,463947.5
2265959,827230.625
2265963,704568.75
2265964,583705.833333333
2265966,218133.75
2265967,218133.75
2265968,613530.729166667
2265974,2349906.25
2265978,1770989.58333333
2265980,636475
2265981,2354914.6875
2265982,768105.379583333
2265983,323549.583333333
2265984,137027.946428571
2265988,137482.45
2265989,130905
2265991,752800
2266020,130373.75
2266031,143792.5
2266032,754487.5
2266064,641593.75
2266079,2192906.25
2266080,2192906.25
2266083,1587718.75
2266084,1587718.75
2266102,857990.815833333
2266105,1889436.25
2266106,1886593.75
2266109,2171641.875
2266110,2330164.6875
2266113,834700
2266114,745897.67125
2266117,745897.67125
2266118,745897.67125
2266121,640531.25
2266156,751650
2266158,472993.333333333
2266159,231099.89578373
2266171,1885186.25
2266172,1882343.75
2266177,554730.833333333
2266178,520533.333333333
2266179,554730.833333333
2266180,520533.333333333
2266189,743515.985833333
2266190,743515.985833333
2266244,2330164.6875
2266245,2330164.6875
2266254,893490.815833333
2266255,893490.815833333
2266258,1886593.75
2266259,1886593.75
2266260,1625031.25
2266261,1625031.25
2266262,966362.5
2266263,855282.4825
2266277,2370539.6875
2266278,1648156.25
2266279,1648156.25
2266284,857990.815833333
2266285,857990.815833333
2266294,714191.004583333
2266297,2329914.6875
2266316,2040748.75
2266317,2040748.75
2266320,2495993.75
2266321,670243.75
2266322,763730.379583333
2266323,763730.379583333
2266334,2387281.25
2266335,2387281.25
2266342,813865.81375
2266348,1886093.75
2266352,516595.833333333
2266353,552418.333333333
2266356,472993.333333333
2266357,472993.333333333
2266366,1638156.25
2266367,1654625
2266373,442657.083333333
2266374,442657.083333333
2266378,655530.833333333
2266444,954737.5
2266446,2263320.9375
2266447,2449250
2266449,2754662.5
2266452,328302.083333333
2266454,1034037.5
2266455,827230.625
2266467,392393.333333333
2266469,1877343.75
2266477,999295.833333333
2266478,2079613.26420455
2266481,2108503.75
2266483,2754662.5
2266485,641593.75
2266486,2339156.25
2266487,2338656.25
2266489,1880186.25
2266503,1780248.75
2266519,2563831.25
2266523,974695.833333333
2266527,2765200
2266530,2108503.75
2266532,839220.833333333
2266533,132239.075
2266534,641593.75
2266562,641593.75
2266563,137027.946428571
2266569,2504875
2266570,836908.333333333
2266571,2188498.75
2266572,572230.833333333
