,id,price_usd
0,3632,65148.70939381124
1,3633,185639.46167119755
2,2263404,5357664.740212729
3,2263405,3937062.1962841493
4,2263406,5120790.494466751
5,2263407,3889469.402429048
6,2263408,3889469.402429048
7,2263409,3889469.335172901
8,2263410,6969712.639923531
9,2263411,4771419.872011905
10,2263412,4771419.872011905
11,2263413,4768019.009608225
12,2263415,6596635.602039584
13,2263416,16314414.021188466
14,2263417,3859764.436989186
15,2263418,3944317.8506783633
16,2263419,3879864.3740149126
17,2263420,3929567.3724688273
18,2263421,3899120.6064821556
19,2263422,3899120.6064821556
20,2263423,3886573.32913054
21,2263424,3872814.2953456426
22,2263425,5045163.371624665
23,2263426,5194457.677852117
24,2263427,5189854.224177811
25,2263428,5191585.18924772
26,2263429,5219319.671306302
27,2263430,3937062.129028002
28,2263431,3916427.2822396127
29,2263432,3872814.2953456426
30,2263433,3872814.2953456426
31,2263434,3872814.2953456426
32,2263436,3869266.4340232783
33,2263437,3898801.859874581
34,2263438,3898801.859874581
35,2263439,3898801.859874581
36,2263440,3882614.5051506753
37,2263441,3885671.1095294547
38,2263442,3929723.660617438
39,2263443,3843802.355766629
40,2263444,3937062.1962841493
41,2263445,11088212.275701178
42,2263453,3800734.7613063827
43,2263460,6555780.18648926
44,2263461,6635171.420668925
45,2263464,4273449.958607716
46,2263467,3849122.398785234
47,2263471,7809877.062104481
48,2263472,7860740.774464753
49,2263476,9505079.706490943
50,2263477,18371089.885872148
51,2263480,9422345.854836704
52,2263482,8436142.908519272
53,2263633,45616553.427507855
54,2263638,4359994.948673097
55,2263652,28831795.137006205
56,2264067,4856471.837185526
57,2264075,3404848.23334593
58,2264078,11574102.949574443
59,2264079,7894624.505405351
60,2264080,5158145.380394198
61,2264151,3477581.5393466176
62,2264153,7762467.357640215
63,2264155,24768846.39703903
64,2264158,3699995.176572448
65,2264162,5033679.074003466
66,2264164,3535872.540122536
67,2264168,5022005.847912697
68,2264173,3553375.6553967935
69,2264178,8683411.47052217
70,2264183,6256382.360430024
71,2264189,7180225.713288679
72,2264198,4920025.164622282
73,2264199,4962974.729526285
74,2264206,6208996.238313863
75,2264212,6235162.995040284
76,2264215,6309845.259126688
77,2264218,6216507.622627
78,2264219,9761491.951145926
79,2264221,6259184.38033431
80,2264227,9532997.598988982
81,2264229,9807356.825694583
82,2264234,11828038.859670823
83,2264240,5010948.886835556
84,2264242,5045536.532429482
85,2264248,5027609.385529513
86,2264249,10166192.433753677
87,2264259,4574623.689024213
88,2264265,11599226.775469864
89,2264270,5400398.254698176
90,2264272,4986905.857689478
91,2264274,11680144.911502307
92,2264284,8054680.031946516
