id,price_usd
3632,39660.9814482945
3633,161471.310529875
2263404,5227436.41149099
2263405,3827680.31957661
2263406,4992387.33074973
2263407,3783655.17831991
2263408,3783655.52912506
2263409,3783655.82927586
2263410,6810347.76716402
2263411,4653124.9311969
2263412,4653125.28200205
2263413,4648578.42409758
2263415,6441371.70611467
2263416,15957897.0789386
2263417,3754989.77383718
2263418,3834498.88213868
2263419,3775334.13432936
2263420,3820644.40085208
2263421,3792864.61792273
2263422,3792864.96872787
2263423,3780293.51469632
2263424,3769135.16031772
2263425,4917142.73407433
2263426,5060997.23868102
2263427,5056671.00269754
2263428,5058297.14838243
2263429,5084338.08229418
2263430,3827688.68824578
2263431,3808314.27705674
2263432,3769137.96675889
2263433,3769138.31756403
2263434,3769138.66836918
2263436,3764175.62747782
2263437,3791776.98952297
2263438,3791777.34032811
2263439,3791777.69113326
2263440,3777644.88079415
2263441,3779451.05975963
2263442,3820800.50216543
2263443,3741208.08244041
2263444,3827693.29936703
2263445,10839704.5281948
2263453,3699681.13977464
2263460,6402334.96828372
2263461,6477944.6530897
2263464,4163130.05611463
2263467,3745366.11162272
2263471,7625291.30522891
2263472,7673515.20672827
2263476,9296275.10994884
2263477,17974820.6951983
2263480,9219664.31784777
2263482,8242378.34759352
2263633,44665370.6919225
2263638,4246259.55705758
2263652,28218719.0480577
2264067,4731797.66587857
2264075,3305382.02432895
2264078,11313084.2629174
2264079,7712658.23547533
2264080,5031521.61034569
2264151,3380676.45294584
2264153,7581038.99090313
2264155,24235911.9352925
2264158,3597893.22966486
2264162,4904800.37235396
2264164,3437026.25304482
2264168,4893474.86504779
2264173,3452631.75884049
2264178,8488644.23139866
2264183,6102831.87920322
2264189,7009976.2444044
2264198,4793383.89048835
2264199,4834898.81597708
2264206,6058976.48794525
2264212,6083563.99495115
2264215,6154405.98265941
2264218,6066048.85621129
2264219,9556850.96266232
2264221,6106138.04603779
2264227,9312932.23363255
2264229,9599687.11718778
2264234,11562507.4829577
2264240,4879086.81518904
2264242,4915595.81902357
2264248,4904130.29099584
2264249,9941333.71428353
2264259,4456236.69939389
2264265,11339105.1579278
2264270,5273828.64855626
2264272,4858155.45188456
2264274,11427484.5361503
2264284,7862577.58552396
2264285,3572618.00602384
2264286,3572618.35682898
2264290,5424921.89175715
2264296,16896612.4511043
2264298,9728222.34327742
2264305,4831573.92007626
2264312,20345304.8000172
2264318,3815930.20467193
2264320,4234276.80881767
2264323,15860808.3329157
2264376,15860808.6837208
2264474,11888245.9641522
2264479,4477349.35770358
2264482,7743778.4834159
2264491,4961329.44173752
2264514,4473310.73177845
2264518,6986427.85781184
2264525,4963054.09765768
2264537,9581834.01418799
2264545,4868526.51608545
2264549,4920869.04260552
2264569,5654169.73678524
2264570,5752958.64237649
2264571,5654180.81046932
2264572,5752969.71606058
2264573,5851748.24957804
