id,price_usd
3632,850355.855
3633,249987.16083333333
2263404,196904.1056767677
2263405,92711.22083333334
2263406,131715.0226839827
2263407,92711.22083333334
2263408,92711.22083333334
2263409,92711.22083333334
2263410,209838.66965120914
2263411,123286.375
2263412,123286.375
2263413,123286.375
2263415,322551.6
2263416,743183.965
2263417,99297.95958333334
2263418,99297.95958333334
2263419,99297.95958333334
2263420,99297.95958333334
2263421,99297.95958333334
2263422,99297.95958333334
2263423,99297.95958333334
2263424,99297.95958333334
2263425,158985.06794372297
2263426,158450.61444372294
2263427,158450.61444372294
2263428,158450.61444372294
2263429,158450.61444372294
2263430,99297.95958333334
2263431,99297.95958333334
2263432,94920.33833333332
2263433,94920.33833333332
2263434,94920.33833333332
2263436,94920.33833333332
2263437,94920.33833333332
2263438,99297.95958333334
2263439,94920.33833333332
2263440,94920.33833333332
2263441,99297.95958333334
2263442,99297.95958333334
2263443,99297.95958333334
2263444,99297.95958333334
2263445,340810.67
2263453,90323.40976190478
2263460,322551.6
2263461,322551.6
2263464,100660.82938311687
2263467,97203.5
2263471,109847.5
2263472,109847.5
2263476,286059.55333333334
2263477,417582.3316666667
2263480,316246.2833333334
2263482,341031.29
2263633,1063824.995
2263638,66069.84163614165
2263652,401817.51666666666
2264067,68057.5
2264075,83932.57357142858
2264078,205589.44
2264079,189956.83333333337
2264080,579175.0
2264151,58091.61428571429
2264153,132885.0
2264155,359889.5
2264158,94341.45249999998
2264162,89039.5
2264164,112646.0625
2264168,178060.0
2264173,112646.0625
2264178,195176.2269047619
2264183,96386.66666666666
2264189,91614.73366666667
2264198,176819.15666666665
2264199,175752.0
2264206,96386.66666666666
2264212,96386.66666666666
2264215,96386.66666666666
2264218,96386.66666666666
2264219,465585.08
2264221,96386.66666666666
2264227,134720.0
2264229,465585.08
2264234,303333.55117784993
2264240,64023.0
2264242,80463.51576617827
2264248,105554.07565151514
2264249,545909.635
2264259,125918.24171568628
2264265,123004.63
2264270,383268.61875
2264272,140072.5
2264274,679106.4805555556
2264284,172685.24208333335
2264285,82603.17666666667
2264286,82603.17666666667
2264290,283588.3283333333
2264296,253560.0
2264298,377812.7307142857
2264305,98726.76666666668
2264312,390565.0
2264318,100134.23333333332
