id,price_usd
3632,479150.0
3633,144923.521875
2263404,269577.6677083333
2263405,135104.12708333335
2263406,145603.15416666667
2263407,135104.12708333335
2263408,135104.12708333335
2263409,135104.12708333335
2263410,151546.15
2263411,180595.69214285718
2263412,180595.69214285718
2263413,180595.69214285718
2263415,569685.9416666667
2263416,267808.48791666667
2263417,146385.65698051947
2263418,146385.65698051947
2263419,146385.65698051947
2263420,146385.65698051947
2263421,146385.65698051947
2263422,146385.65698051947
2263423,146385.65698051947
2263424,146385.65698051947
2263425,145141.78614718615
2263426,144779.28614718615
2263427,144779.28614718615
2263428,144779.28614718615
2263429,144779.28614718615
2263430,146385.65698051947
2263431,146385.65698051947
2263432,142337.01739718617
2263433,142337.01739718617
2263434,142337.01739718617
2263436,142337.01739718617
2263437,142337.01739718617
2263438,146385.65698051947
2263439,142337.01739718617
2263440,142337.01739718617
2263441,146385.65698051947
2263442,146385.65698051947
2263443,146385.65698051947
2263444,146385.65698051947
2263445,267621.25
2263453,298059.9586111111
2263460,569685.9416666667
2263461,569685.9416666667
2263464,166494.46312830687
2263467,177438.33333333334
2263471,154154.39099702382
2263472,194681.9507943211
2263476,237530.540625
2263477,295468.75
2263480,221793.040625
2263482,138298.61666666664
2263633,326002.3083333333
2263638,220105.35714285713
2263652,217587.5
2264067,99624.22916666667
2264075,117250.9960199005
2264078,354081.25
2264079,278339.7916666667
2264080,347047.5458333333
2264151,146729.47
2264153,298359.75
2264155,294388.75
2264158,185959.30238095237
2264162,139324.9375
2264164,168595.8071969697
2264168,208784.075
2264173,168595.8071969697
2264178,180960.98068181818
2264183,230718.6166666667
2264189,222575.64583333334
2264198,186917.925
2264199,107307.83571428573
2264206,230718.6166666667
2264212,230718.6166666667
2264215,230718.6166666667
2264218,230718.6166666667
2264219,374529.275
2264221,230718.6166666667
2264227,229074.8666666667
2264229,374529.275
2264234,202004.0416666667
2264240,92000.2875
2264242,181389.79166666666
2264248,136261.18530561478
2264249,401635.45
2264259,213730.33636363636
2264265,248737.3666666667
2264270,213278.63068181818
2264272,115363.29166666667
2264274,286116.6666666666
2264284,197298.0298611111
2264285,202081.30625
2264286,202081.30625
2264290,378361.3875
2264296,276277.5333333333
2264298,250100.3163068182
2264305,198663.0
2264312,340702.075
2264318,253727.45643656715
2264320,183410.08333333334
